Decision Threshold,Precision,Recall (Sensitivity),Specificity,F1 Score,Accuracy (%),Youden's J,True Positives,False Positives,False Negatives,True Negatives
0.05,0.1142,0.9908,0.0349,0.2048,14.16,0.0257,2250,17451,21,632
0.1,0.1432,0.8358,0.3719,0.2445,42.37,0.2077,1898,11358,373,6725
0.15,0.1884,0.5702,0.6916,0.2833,67.8,0.2618,1295,5577,976,12506
0.2,0.2267,0.3426,0.8532,0.2728,79.63,0.1958,778,2654,1493,15429
0.25,0.2949,0.2096,0.9371,0.245,85.59,0.1467,476,1138,1795,16945
0.3,0.3693,0.1207,0.9741,0.1819,87.89,0.0948,274,468,1997,17615
0.35,0.4158,0.0718,0.9873,0.1224,88.52,0.0591,163,229,2108,17854
0.4,0.4902,0.044,0.9942,0.0808,88.82,0.0383,100,104,2171,17979
0.45,0.5398,0.0269,0.9971,0.0512,88.89,0.024,61,52,2210,18031
0.5,0.5902,0.0159,0.9986,0.0309,88.9,0.0145,36,25,2235,18058
0.55,0.6,0.0092,0.9992,0.0182,88.88,0.0085,21,14,2250,18069
0.6,0.6667,0.0053,0.9997,0.0105,88.87,0.005,12,6,2259,18077
0.65,0.75,0.004,0.9998,0.0079,88.87,0.0038,9,3,2262,18080
0.7,0.625,0.0022,0.9998,0.0044,88.85,0.002,5,3,2266,18080
0.75,0.5,0.0009,0.9999,0.0018,88.84,0.0008,2,2,2269,18081
0.8,0.0,0.0,1.0,0.0,88.84,0.0,0,0,2271,18083
0.85,0.0,0.0,1.0,0.0,88.84,0.0,0,0,2271,18083
0.9,0.0,0.0,1.0,0.0,88.84,0.0,0,0,2271,18083
0.95,0.0,0.0,1.0,0.0,88.84,0.0,0,0,2271,18083
