Threshold,Precision,Recall,F1 Score,Accuracy
0.1,0.1432,0.8358,0.2445,42.37
0.15,0.1884,0.5702,0.2833,67.8
0.2,0.2267,0.3426,0.2728,79.63
0.25,0.2949,0.2096,0.245,85.59
0.3,0.3693,0.1207,0.1819,87.89
0.35,0.4158,0.0718,0.1224,88.52
0.4,0.4902,0.044,0.0808,88.82
0.45,0.5398,0.0269,0.0512,88.89
0.5,0.5902,0.0159,0.0309,88.9
0.55,0.6,0.0092,0.0182,88.88
0.6,0.6667,0.0053,0.0105,88.87
0.65,0.75,0.004,0.0079,88.87
0.7,0.625,0.0022,0.0044,88.85
0.75,0.5,0.0009,0.0018,88.84
0.8,0.0,0.0,0.0,88.84
0.85,0.0,0.0,0.0,88.84
0.9,0.0,0.0,0.0,88.84
