Rank,Feature Name,Mean |SHAP|,Importance (% of Top Feature)
1,number_inpatient,0.424565,100.0
2,discharge_disposition_id,0.256371,60.38
3,gender,0.216424,50.98
4,change,0.164205,38.68
5,hospital_complexity,0.160938,37.91
6,race_Caucasian,0.129928,30.6
7,insulin,0.122914,28.95
8,time_in_hospital,0.112018,26.38
9,total_prior_visits,0.102268,24.09
10,diabetesmed,0.098326,23.16
11,number_diagnoses,0.096895,22.82
12,diag_1,0.087726,20.66
13,metformin,0.077644,18.29
14,multi_diag_endocrine,0.069584,16.39
15,admission_source_id,0.055755,13.13
16,diag_3,0.054153,12.76
17,is_emergency_admission,0.049495,11.66
18,num_lab_procedures,0.04038,9.51
19,glipizide,0.039541,9.31
20,age,0.035413,8.34
21,num_medications,0.033668,7.93
22,med_procedure_ratio,0.031331,7.38
23,admission_type_id,0.031006,7.3
24,num_procedures,0.030474,7.18
25,diag_2,0.028828,6.79
26,glyburide,0.023218,5.47
27,number_outpatient,0.020253,4.77
28,a1cresult,0.020184,4.75
29,number_emergency,0.019035,4.48
30,pioglitazone,0.016038,3.78
31,long_stay,0.013412,3.16
32,glimepiride,0.010329,2.43
33,rosiglitazone,0.009796,2.31
34,max_glu_serum,0.006885,1.62
35,race_Asian,0.001865,0.44
36,repaglinide,0.001833,0.43
37,race_Hispanic,0.001532,0.36
38,glyburide-metformin,0.001503,0.35
39,acarbose,0.001165,0.27
40,race_Other,0.001102,0.26
41,nateglinide,0.000407,0.1
42,chlorpropamide,0.000273,0.06
43,tolazamide,1e-05,0.0
44,glipizide-metformin,0.0,0.0
45,metformin-pioglitazone,0.0,0.0
46,metformin-rosiglitazone,0.0,0.0
47,glimepiride-pioglitazone,0.0,0.0
48,acetohexamide,0.0,0.0
49,miglitol,0.0,0.0
50,troglitazone,0.0,0.0
51,tolbutamide,0.0,0.0
